ANZSRC 2020 Code,ANZSRC 2020 Name,ANZSRC 2008 Code,Partial Match,ANZSRC 2008 Name
309999,"""Other agricultural, veterinary and food sciences not elsewhere classified""",079999,,"""Agricultural and Veterinary Sciences not elsewhere classified"""
310101,"""Analytical biochemistry""",060101,,"""Analytical Biochemistry"""
310102,"""Cell development, proliferation and death""",060103,,"""Cell Development, Proliferation and Death"""
310103,"""Cell metabolism""",060104,,"""Cell Metabolism"""
310104,"""Cell neurochemistry""",060105,,"""Cell Neurochemistry"""
310105,"""Cellular interactions (incl. adhesion, matrix, cell wall)""",060106,p ,"""Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)"""
310106,"""Enzymes""",060107,,"""Enzymes"""
310107,"""Glycobiology""",060106,p ,"""Cellular Interactions (incl. Adhesion, Matrix, Cell Wall)"""
310107,"""Glycobiology""",060199,p ,"""Biochemistry and Cell Biology not elsewhere classified """
310108,"""Protein trafficking""",060108,,"""Protein Trafficking"""
310109,"""Proteomics and intermolecular interactions (excl. medical proteomics)""",060109,,"""Proteomics and Intermolecular Interactions (excl. Medical Proteomics)"""
310110,"""Receptors and membrane biology""",060110,,"""Receptors and Membrane Biology"""
310111,"""Signal transduction""",060111,,"""Signal Transduction"""
310112,"""Structural biology (incl. macromolecular modelling)""",060112,,"""Structural Biology (incl. Macromolecular Modelling)"""
310113,"""Synthetic biology""",060113,,"""Synthetic Biology"""
310114,"""Systems biology""",060114,,"""Systems Biology"""
310199,"""Biochemistry and cell biology not elsewhere classified """,060199,p ,"""Biochemistry and Cell Biology not elsewhere classified """
310201,"""Bioinformatic methods development""",060102,p ,"""Bioinformatics"""
310202,"""Biological network analysis""",060102,p ,"""Bioinformatics"""
310203,"""Computational ecology and phylogenetics""",060102,p ,"""Bioinformatics"""
310204,"""Genomics and transcriptomics""",060102,p ,"""Bioinformatics"""
310205,"""Proteomics and metabolomics""",060102,p ,"""Bioinformatics"""
310206,"""Sequence analysis""",060102,p ,"""Bioinformatics"""
310207,"""Statistical and quantitative genetics""",060102,p ,"""Bioinformatics"""
310208,"""Translational and applied bioinformatics""",060102,p ,"""Bioinformatics"""
310299,"""Bioinformatics and computational biology not elsewhere classified""",060102,p ,"""Bioinformatics"""
310301,"""Behavioural ecology""",060201,,"""Behavioural Ecology"""
310301,"""Behavioural ecology""",060304,,"""Ethology and Sociobiology"""
310302,"""Community ecology (excl. invasive species ecology)""",060202,,"""Community Ecology (excl. Invasive Species Ecology)"""
310303,"""Ecological physiology""",060203,,"""Ecological Physiology"""
310304,"""Freshwater ecology """,060204,,"""Freshwater Ecology """
310305,"""Marine and estuarine ecology (incl. marine ichthyology)""",060205,,"""Marine and Estuarine Ecology (incl. Marine Ichthyology)"""
310306,"""Palaeoecology""",060206,,"""Palaeoecology"""
310307,"""Population ecology """,060207,,"""Population Ecology """
310308,"""Terrestrial ecology """,060208,p ,"""Terrestrial Ecology """
310399,"""Ecology not elsewhere classified""",060299,p ,"""Ecology not elsewhere classified"""
310401,"""Animal systematics and taxonomy""",060301,p ,"""Animal Systematics and Taxonomy"""
310402,"""Biogeography and phylogeography""",060302,,"""Biogeography and Phylogeography"""
310403,"""Biological adaptation""",060303,,"""Biological Adaptation"""
310404,"""Evolution of developmental systems""",060305,,"""Evolution of Developmental Systems"""
310405,"""Evolutionary ecology""",060299,p ,"""Ecology not elsewhere classified"""
310405,"""Evolutionary ecology""",060399,p ,"""Evolutionary Biology not elsewhere classified"""
310406,"""Evolutionary impacts of climate change""",060306,,"""Evolutionary Impacts of Climate Change"""
310407,"""Host-parasite interactions""",060307,,"""Host-Parasite Interactions"""
310408,"""Life histories""",060308,,"""Life Histories"""
310409,"""Microbial taxonomy""",060301,p ,"""Animal Systematics and Taxonomy"""
310409,"""Microbial taxonomy""",060310,p ,"""Plant Systematics and Taxonomy"""
310409,"""Microbial taxonomy""",060399,p ,"""Evolutionary Biology not elsewhere classified"""
310410,"""Phylogeny and comparative analysis""",060309,,"""Phylogeny and Comparative Analysis"""
310411,"""Plant and fungus systematics and taxonomy""",060310,p ,"""Plant Systematics and Taxonomy"""
310412,"""Speciation and extinction""",060311,,"""Speciation and Extinction"""
310499,"""Evolutionary biology not elsewhere classified""",060399,p ,"""Evolutionary Biology not elsewhere classified"""
310501,"""Anthropological genetics """,060401,,"""Anthropological Genetics """
310502,"""Cell and nuclear division""",060402,,"""Cell and Nuclear Division"""
310503,"""Developmental genetics (incl. sex determination)""",060403,,"""Developmental Genetics (incl. Sex Determination)"""
310504,"""Epigenetics (incl. genome methylation and epigenomics)""",060404,,"""Epigenetics (incl. Genome Methylation and Epigenomics)"""
310505,"""Gene expression (incl. microarray and other genome-wide approaches)""",060405,,"""Gene Expression (incl. Microarray and Other Genome-Wide Approaches)"""
310506,"""Gene mapping""",060412,,"""Quantitative Genetics (incl. Disease and Trait Mapping Genetics)"""
310507,"""Genetic immunology """,060406,,"""Genetic Immunology """
310508,"""Genome structure and regulation""",060407,,"""Genome Structure and Regulation"""
310509,"""Genomics""",060408,,"""Genomics"""
310510,"""Molecular evolution""",060409,,"""Molecular Evolution"""
310511,"""Neurogenetics""",060410,,"""Neurogenetics"""
310599,"""Genetics not elsewhere classified""",060411,,"""Population, Ecological and Evolutionary Genetics"""
310599,"""Genetics not elsewhere classified""",060499,p,"""Genetics not elsewhere classified"""
310601,"""Biocatalysis and enzyme technology""",100301,,"""Biocatalysis and Enzyme Technology"""
310602,"""Bioprocessing, bioproduction and bioproducts""",100302,,"""Bioprocessing, Bioproduction and Bioproducts"""
310603,"""Fermentation""",100303,,"""Fermentation"""
310604,"""Industrial biotechnology diagnostics (incl. biosensors)""",100304,,"""Industrial Biotechnology Diagnostics (incl. Biosensors)"""
310605,"""Industrial microbiology (incl. biofeedstocks)""",100305,,"""Industrial Microbiology (incl. Biofeedstocks)"""
310606,"""Industrial molecular engineering of nucleic acids and proteins""",100306,,"""Industrial Molecular Engineering of Nucleic Acids and Proteins"""
310607,"""Nanobiotechnology""",100703,,"""Nanobiotechnology"""
310699,"""Industrial biotechnology not elsewhere classified""",100399,,"""Industrial Biotechnology not elsewhere classified"""
310699,"""Industrial biotechnology not elsewhere classified""",109999,p,"""Technology not elsewhere classified"""
310701,"""Bacteriology """,060501,,"""Bacteriology """
310702,"""Infectious agents""",060502,,"""Infectious Agents"""
310703,"""Microbial ecology""",060504,,"""Microbial Ecology"""
310704,"""Microbial genetics """,060503,,"""Microbial Genetics """
310705,"""Mycology """,060505,,"""Mycology """
310706,"""Virology """,060506,,"""Virology """
310799,"""Microbiology not elsewhere classified""",060599,,"""Microbiology not elsewhere classified"""
310801,"""Phycology (incl. marine grasses)""",060701,,"""Phycology (incl. Marine Grasses)"""
310802,"""Plant biochemistry """,060702,p ,"""Plant Cell and Molecular Biology"""
310802,"""Plant biochemistry """,060703,p ,"""Plant Developmental and Reproductive Biology"""
310802,"""Plant biochemistry """,060704,p ,"""Plant Pathology"""
310802,"""Plant biochemistry """,060705,p ,"""Plant Physiology """
310802,"""Plant biochemistry """,060799,p ,"""Plant Biology not elsewhere classified"""
310803,"""Plant cell and molecular biology""",060702,p ,"""Plant Cell and Molecular Biology"""
310804,"""Plant developmental and reproductive biology""",060703,p ,"""Plant Developmental and Reproductive Biology"""
310805,"""Plant pathology""",060704,p ,"""Plant Pathology"""
310806,"""Plant physiology """,060705,p ,"""Plant Physiology """
310899,"""Plant biology not elsewhere classified""",060799,p ,"""Plant Biology not elsewhere classified"""
310901,"""Animal behaviour""",060801,,"""Animal Behaviour"""
310902,"""Animal cell and molecular biology""",060802,,"""Animal Cell and Molecular Biology"""
310903,"""Animal developmental and reproductive biology""",060803,,"""Animal Developmental and Reproductive Biology"""
310904,"""Animal diet and nutrition""",060899,p ,"""Zoology not elsewhere classified """
310905,"""Animal immunology""",060804,,"""Animal Immunology"""
310906,"""Animal neurobiology """,060805,,"""Animal Neurobiology """
310907,"""Animal physiological ecology""",060806,,"""Animal Physiological Ecology"""
310908,"""Animal physiology - biophysics """,060601,,"""Animal Physiology - Biophysics """
310909,"""Animal physiology - cell """,060602,,"""Animal Physiology - Cell """
310910,"""Animal physiology - systems""",060603,,"""Animal Physiology - Systems"""
310911,"""Animal structure and function""",060807,,"""Animal Structure and Function"""
310912,"""Comparative physiology """,060604,,"""Comparative Physiology """
310913,"""Invertebrate biology """,060808,,"""Invertebrate Biology """
310914,"""Vertebrate biology""",060809,,"""Vertebrate Biology"""
310999,"""Zoology not elsewhere classified """,060699,,"""Physiology not elsewhere classified"""
310999,"""Zoology not elsewhere classified """,060899,p ,"""Zoology not elsewhere classified """
319901,"""Forensic biology""",069901,,"""Forensic Biology"""
319902,"""Global change biology""",069902,,"""Global Change Biology"""
319999,"""Other biological sciences not elsewhere classified """,069999,,"""Biological Sciences not elsewhere classified """
320101,"""Cardiology (incl. cardiovascular diseases)""",110201,,"""Cardiology (incl. Cardiovascular Diseases)"""
320102,"""Haematology""",110202,,"""Haematology"""
320103,"""Respiratory diseases """,110203,,"""Respiratory Diseases """
320199,"""Cardiovascular medicine and haematology not elsewhere classified""",110299,,"""Cardiorespiratory Medicine and Haematology not elsewhere classified"""
320201,"""Anaesthesiology""",110301,,"""Anaesthesiology"""
320202,"""Clinical chemistry (incl. diagnostics)""",110302,,"""Clinical Chemistry (Diagnostics)"""
320203,"""Clinical microbiology""",110303,,"""Clinical Microbiology"""
320204,"""Clinimetrics""",110399,p ,"""Clinical Sciences not elsewhere classified"""
320205,"""Dermatology""",110304,,"""Dermatology"""
320206,"""Diagnostic radiography""",110313,p ,"""Nuclear Medicine"""
320206,"""Diagnostic radiography""",110320,p ,"""Radiology and Organ Imaging"""
320207,"""Emergency medicine""",110305,p ,"""Emergency Medicine"""
320208,"""Endocrinology""",110306,,"""Endocrinology"""
320209,"""Gastroenterology and hepatology""",110307,,"""Gastroenterology and Hepatology"""
320210,"""Geriatrics and gerontology """,110308,p ,"""Geriatrics and Gerontology """
320211,"""Infectious diseases""",110309,,"""Infectious Diseases"""
320212,"""Intensive care """,110310,,"""Intensive Care """
320213,"""Medical genetics (excl. cancer genetics)""",110311,,"""Medical Genetics (excl. Cancer Genetics)"""
320214,"""Nephrology and urology """,110312,,"""Nephrology and Urology """
320215,"""Nuclear medicine""",110313,p ,"""Nuclear Medicine"""
320216,"""Orthopaedics """,110314,p ,"""Orthopaedics """
320217,"""Otorhinolaryngology""",110315,,"""Otorhinolaryngology"""
320218,"""Pain""",110399,p ,"""Clinical Sciences not elsewhere classified"""
320219,"""Paramedicine""",110305,p ,"""Emergency Medicine"""
320219,"""Paramedicine""",110399,p ,"""Clinical Sciences not elsewhere classified"""
320220,"""Pathology (excl. oral pathology)""",110316,,"""Pathology (excl. Oral Pathology)"""
320221,"""Psychiatry (incl. psychotherapy) """,110319,,"""Psychiatry (incl. Psychotherapy) """
320222,"""Radiology and organ imaging""",110320,p ,"""Radiology and Organ Imaging"""
320223,"""Rheumatology and arthritis """,110322,,"""Rheumatology and Arthritis """
320224,"""Rural clinical health""",110399,p ,"""Clinical Sciences not elsewhere classified"""
320225,"""Sports medicine""",110604,,"""Sports Medicine"""
320226,"""Surgery""",110323,,"""Surgery"""
320227,"""Venereology""",110324,,"""Venereology"""
320299,"""Clinical sciences not elsewhere classified""",110399,p ,"""Clinical Sciences not elsewhere classified"""
320301,"""Craniofacial biology""",110399,p ,"""Clinical Sciences not elsewhere classified"""
320301,"""Craniofacial biology""",110505,p ,"""Oral Medicine and Pathology"""
320302,"""Dental materials and equipment""",110501,,"""Dental Materials and Equipment"""
320303,"""Dental therapeutics, pharmacology and toxicology """,110502,,"""Dental Therapeutics, Pharmacology and Toxicology """
320304,"""Endodontics""",110503,,"""Endodontics"""
320305,"""Oral and maxillofacial surgery """,110504,p ,"""Oral and Maxillofacial Surgery """
320306,"""Oral implantology""",110504,p ,"""Oral and Maxillofacial Surgery """
320306,"""Oral implantology""",110599,p ,"""Dentistry not elsewhere classified """
320307,"""Oral medicine and pathology""",110505,p ,"""Oral Medicine and Pathology"""
320308,"""Orthodontics and dentofacial orthopaedics""",110506,p ,"""Orthodontics and Dentofacial Orthopaedics"""
320309,"""Paedodontics""",110507,,"""Paedodontics"""
320310,"""Periodontics""",110508,,"""Periodontics"""
320311,"""Prosthodontics""",110504,p ,"""Oral and Maxillofacial Surgery """
320311,"""Prosthodontics""",110506,p ,"""Orthodontics and Dentofacial Orthopaedics"""
320311,"""Prosthodontics""",110509,p ,"""Special Needs Dentistry"""
320311,"""Prosthodontics""",110599,p ,"""Dentistry not elsewhere classified """
320312,"""Special needs dentistry""",110509,p ,"""Special Needs Dentistry"""
320399,"""Dentistry not elsewhere classified """,110599,p ,"""Dentistry not elsewhere classified """
320401,"""Allergy""",110701,,"""Allergy"""
320402,"""Applied immunology (incl. antibody engineering, xenotransplantation and t-cell therapies)""",110702,,"""Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-Cell Therapies)"""
320403,"""Autoimmunity """,110703,,"""Autoimmunity """
320404,"""Cellular immunology""",110704,,"""Cellular Immunology"""
320405,"""Humoural immunology and immunochemistry""",110705,,"""Humoural Immunology and Immunochemistry"""
320406,"""Immunogenetics (incl. genetic immunology)""",110706,,"""Immunogenetics (incl. Genetic Immunology)"""
320407,"""Innate immunity""",110707,,"""Innate Immunity"""
320408,"""Transplantation immunology """,110708,,"""Transplantation Immunology """
320409,"""Tumour immunology """,110709,,"""Tumour Immunology """
320499,"""Immunology not elsewhere classified""",110799,,"""Immunology not elsewhere classified"""
320501,"""Medical biochemistry - amino acids and metabolites""",110101,,"""Medical Biochemistry: Amino Acids and Metabolites"""
320502,"""Medical biochemistry - carbohydrates""",110102,,"""Medical Biochemistry: Carbohydrates"""
320503,"""Medical biochemistry - inorganic elements and compounds""",110103,,"""Medical Biochemistry: Inorganic Elements and Compounds"""
320504,"""Medical biochemistry - lipids """,110104,,"""Medical Biochemistry: Lipids """
320505,"""Medical biochemistry - nucleic acids""",110105,,"""Medical Biochemistry: Nucleic Acids"""
320506,"""Medical biochemistry - proteins and peptides (incl. medical proteomics)""",110106,,"""Medical Biochemistry: Proteins and Peptides (incl. Medical Proteomics)"""
320507,"""Metabolic medicine""",110107,,"""Metabolic Medicine"""
320599,"""Medical biochemistry and metabolomics not elsewhere classified""",110199,,"""Medical Biochemistry and Metabolomics not elsewhere classified"""
320601,"""Gene and molecular therapy """,100401,,"""Gene and Molecular Therapy """
320602,"""Medical biotechnology diagnostics (incl. biosensors)""",100402,,"""Medical Biotechnology Diagnostics (incl. Biosensors)"""
320603,"""Medical molecular engineering of nucleic acids and proteins""",100403,,"""Medical Molecular Engineering of Nucleic Acids and Proteins"""
320604,"""Nanomedicine""",100709,,"""Nanomedicine"""
320605,"""Nanotoxicology, health and safety""",100713,,"""Nanotoxicology, Health and Safety"""
320606,"""Regenerative medicine (incl. stem cells)""",100404,p ,"""Regenerative Medicine (incl. Stem Cells and Tissue Engineering)"""
320699,"""Medical biotechnology not elsewhere classified""",100499,,"""Medical Biotechnology not elsewhere classified"""
320699,"""Medical biotechnology not elsewhere classified""",109999,p ,"""Technology not elsewhere classified"""
320701,"""Medical bacteriology """,110801,p ,"""Medical Bacteriology """
320702,"""Medical infection agents (incl. prions)""",110802,p ,"""Medical Infection Agents (incl. Prions)"""
320703,"""Medical mycology""",110801,p ,"""Medical Bacteriology """
320703,"""Medical mycology""",110802,p ,"""Medical Infection Agents (incl. Prions)"""
320703,"""Medical mycology""",110804,p ,"""Medical Virology """
320704,"""Medical parasitology """,110803,,"""Medical Parasitology """
320705,"""Medical virology """,110804,p ,"""Medical Virology """
320799,"""Medical microbiology not elsewhere classified""",110899,,"""Medical Microbiology not elsewhere classified"""
320801,"""Cell physiology""",111601,,"""Cell Physiology"""
320802,"""Human biophysics """,111602,,"""Human Biophysics """
320803,"""Systems physiology """,111603,,"""Systems Physiology """
320899,"""Medical physiology not elsewhere classified""",111699,,"""Medical Physiology not elsewhere classified"""
320901,"""Autonomic nervous system """,110901,,"""Autonomic Nervous System """
320902,"""Cellular nervous system""",110902,,"""Cellular Nervous System"""
320903,"""Central nervous system """,110903,p ,"""Central Nervous System """
320904,"""Computational neuroscience (incl. mathematical neuroscience and theoretical neuroscience)""",110999,p ,"""Neurosciences not elsewhere classified"""
320905,"""Neurology and neuromuscular diseases""",110904,p ,"""Neurology and Neuromuscular Diseases"""
320906,"""Peripheral nervous system""",110905,,"""Peripheral Nervous System"""
320907,"""Sensory systems""",110906,p ,"""Sensory Systems"""
320999,"""Neurosciences not elsewhere classified""",110999,p ,"""Neurosciences not elsewhere classified"""
321001,"""Clinical nutrition""",111101,p ,"""Clinical and Sports Nutrition"""
321002,"""Food properties (incl. characteristics and health benefits)""",111102,p ,"""Dietetics and Nutrigenomics"""
321002,"""Food properties (incl. characteristics and health benefits)""",111103,p ,"""Nutritional Physiology"""
321002,"""Food properties (incl. characteristics and health benefits)""",111199,p ,"""Nutrition and Dietetics not elsewhere classified"""
321003,"""Nutrigenomics and personalised nutrition""",111102,p ,"""Dietetics and Nutrigenomics"""
321004,"""Nutritional science""",111103,p ,"""Nutritional Physiology"""
321005,"""Public health nutrition""",111104,,"""Public Nutrition Intervention"""
321006,"""Sport and exercise nutrition""",111101,p ,"""Clinical and Sports Nutrition"""
321099,"""Nutrition and dietetics not elsewhere classified""",111199,p ,"""Nutrition and Dietetics not elsewhere classified"""
321101,"""Cancer cell biology""",111201,p ,"""Cancer Cell Biology"""
321102,"""Cancer diagnosis""",111202,p ,"""Cancer Diagnosis"""
